indice,palabras,insultos
10237,0,0
14326,0,0
836,1,0
6440,1,0
36514,1,0
39304,1,0
1124,2,0
38286,2,0
3165,3,0
79,4,0
667,5,0
2473,5,0
3570,6,0
1439,7,0
24541,7,0
379,8,0
6730,9,0
483,10,0
1134,11,0
1619,12,0
2777,13,0
3406,14,0
3060,15,0
1253,16,0
2589,17,0
3458,18,0
704,19,0
299,20,0
8189,21,0
3164,22,0
17733,23,0
2118,24,0
3455,25,0
54,26,0
21989,27,0
3459,28,0
3490,29,0
4890,30,0
14185,31,0
38171,32,0
11801,33,0
12394,34,0
3500,35,0
3511,36,0
16201,38,0
24905,39,0
8139,40,0
7103,42,0
3530,43,0
3125,44,0
10150,45,0
7081,46,0
14212,47,0
13993,48,0
471,50,0
61,51,0
3555,52,0
18992,53,0
1846,54,0
3633,55,0
27641,56,0
32669,57,0
3547,58,0
2888,60,0
362,61,0
3508,62,0
12871,63,0
3634,64,0
3519,67,0
3635,68,0
3523,69,0
3827,70,0
12864,72,0
24906,73,0
18286,75,0
25953,79,0
5619,80,0
14929,81,0
7046,82,0
38220,84,0
18749,85,0
21006,86,0
625,87,0
948,88,0
8540,89,0
1250,90,0
22659,91,0
43076,92,0
4611,95,0
28869,96,0
31954,98,0
6045,99,0
276,100,0
24778,102,0
5794,104,0
33829,105,0
38790,106,0
39192,107,0
42595,113,0
35615,114,0
29034,118,0
30549,121,0
3372,123,0
25991,125,0
37611,132,0
25995,134,0
38374,136,0
40142,138,0
6614,140,0
30585,145,0
37777,147,0
14068,150,0
39785,151,0
1141,152,0
33830,156,0
21991,165,0
25430,166,0
3868,170,0
19532,180,0
44121,188,0
42044,189,0
38250,190,0
7846,200,0
11816,211,0
26212,220,0
39545,232,0
39544,233,0
45063,240,0
7349,247,0
17362,250,0
41790,252,0
3487,254,0
19937,256,0
38788,259,0
3480,260,0
18907,261,0
18909,262,0
18876,263,0
18875,264,0
18880,265,0
18912,266,0
38795,267,0
38797,268,0
25836,270,0
30331,276,0
38474,280,0
24894,281,0
25972,284,0
38794,296,0
17954,299,0
2492,300,0
45109,301,0
41741,303,0
741,304,0
16073,305,0
18403,307,0
11597,321,0
39137,330,0
43874,331,0
3505,338,0
20971,343,0
40240,345,0
43862,349,0
25714,360,0
43865,363,0
3517,365,0
43869,371,0
3521,376,0
35371,400,0
25033,425,0
42046,450,0
45204,487,0
3625,496,0
11443,500,0
37842,560,0
40115,600,0
30494,608,0
1946,630,0
1580,635,0
38479,660,0
37787,696,0
6111,700,0
39199,770,0
7543,789,0
13942,800,0
22553,808,0
2288,830,0
3331,860,0
3624,865,0
2110,900,0
45153,905,0
43863,907,0
1527,921,0
13488,980,0
30716,990,0
44020,992,0
